Representative,AvgTradeReturn,AvgSPYReturn,AvgExcessReturn,NumTrades,WinRate,BeatSPYRate,Party
Daniel Goldman,-0.013580021514073667,0.029942000867858875,-0.04352202238193254,342,0.47953216374269003,0.3713450292397661,Democratic
Peter Meijer,-0.014007828011338532,0.0415850476046307,-0.05559287561596923,7,0.42857142857142855,0.2857142857142857,Republican
Ron Estes,-0.015607296823645367,-0.025593609959432124,0.009986313135786759,6,0.5,0.6666666666666666,Republican
Daniel Crenshaw,-0.016808301321004224,0.05998741888386121,-0.07679572020486544,21,0.47619047619047616,0.38095238095238093,Republican
James M. Inhofe,-0.017910046782499692,0.013150947533275696,-0.03106099431577539,79,0.5063291139240507,0.45569620253164556,Republican
Steve Cohen,-0.018429826411064158,-0.03864590687527746,0.020216080464213304,18,0.3333333333333333,0.6111111111111112,Democratic
Julie Johnson,-0.019909227828535606,-0.032111232464206094,0.01220200463567049,79,0.4936708860759494,0.46835443037974683,Democratic
August Lee Pfluger Ii,-0.020326323621769504,0.04051061198982531,-0.06083693561159481,10,0.6,0.2,Republican
Marie Newman,-0.021110168824451048,0.032777133089444736,-0.053887301913895784,132,0.4621212121212121,0.4015151515151515,Democratic
Dan Newhouse,-0.02694816984180068,0.006183229602828295,-0.03313139944462898,89,0.34831460674157305,0.38202247191011235,Republican
James R. Langevin,-0.028452472706759616,-0.00036087749278309743,-0.028091595213976518,188,0.46808510638297873,0.4148936170212766,Democratic
Pat Toomey,-0.02957281856533973,0.016731987149425767,-0.046304805714765494,44,0.45454545454545453,0.36363636363636365,Republican
Brian Mast,-0.03558580930595022,0.035423363758184494,-0.0710091730641347,39,0.46153846153846156,0.41025641025641024,Republican
Ed Case,-0.044544524172745494,0.01886165357453583,-0.06340617774728133,10,0.5,0.4,Democratic
Deborah K. Ross,-0.04543885037408431,-0.014875887027248378,-0.03056296334683593,18,0.5555555555555556,0.5,Democratic
James Comer,-0.04676767524935083,-0.00536734850159834,-0.04140032674775249,24,0.375,0.375,Republican
Dean Heller,-0.05019365612990396,-0.034702004034828156,-0.015491652095075803,22,0.36363636363636365,0.5,Republican
Greg Steube,-0.056491462911175794,0.013055420021211815,-0.06954688293238762,13,0.38461538461538464,0.3076923076923077,Republican
Aston Donald Mceachin,-0.0578414992052966,-0.046827799137026414,-0.011013700068270182,6,0.3333333333333333,0.3333333333333333,Democratic
Garret Graves,-0.05971737201632321,0.04886965448398357,-0.10858702650030679,7,0.42857142857142855,0.42857142857142855,Republican
Tom Rice,-0.06055270952722112,-0.0003552662159829856,-0.06019744331123813,5,0.2,0.2,Republican
John Mcguire,-0.07002158820132376,0.04812671607813774,-0.11814830427946149,9,0.4444444444444444,0.1111111111111111,Republican
Brenda Lulenar Lawrence,-0.07421122927610936,-0.00036675958947309054,-0.07384446968663627,15,0.3333333333333333,0.26666666666666666,Democratic
Scott H. Peters,-0.08360708468608677,-0.08091888359147423,-0.0026882010946125408,177,0.1638418079096045,0.4632768361581921,Democratic
David A. Trott,-0.08923353172155532,-0.0213132110791168,-0.06792032064243853,132,0.3106060606060606,0.36363636363636365,Republican
Brad Ashford,-0.09032787431345378,0.0036405582964181677,-0.09396843260987195,7,0.42857142857142855,0.5714285714285714,Democratic
Rodney Leland Blum,-0.11477027968564901,-0.0015484888034488886,-0.11322179088220012,5,0.2,0.6,Republican
Mark R Meadows,-0.1574777550732471,-0.06255024997903116,-0.09492750509421595,5,0.0,0.2,Republican
Tim Walberg,-0.1885822305625672,-0.1735938878439336,-0.014988342718633621,12,0.0,0.3333333333333333,Republican
Mikie Sherrill,-0.20135413960692486,-0.19005828144803658,-0.011295858158888276,32,0.3125,0.5625,Democratic
