Date,OpenPositions,CumPortfolio,CumSPY
2018-05-25,735,13210.676734937617,14923.777144110549
2018-05-29,717,13070.963737997674,14752.13862689186
2018-05-30,716,13240.034518244684,14949.00197411713
2018-05-31,722,13156.806360832108,14857.424873875849
2018-06-01,720,13258.151452132191,15003.290195218251
2018-06-04,704,13309.681888840454,15074.577758280324
2018-06-05,705,13327.519144534419,15085.545075674489
2018-06-06,707,13449.752352210036,15211.66922570739
2018-06-07,709,13458.195471711138,15210.024128098268
2018-06-08,710,13492.454415894308,15254.990129414344
2018-06-11,707,13519.011602237355,15275.279666593551
2018-06-12,938,13543.120024055941,15295.020837903048
2018-06-13,950,13483.442223317927,15246.21627549901
2018-06-14,841,13534.62225690253,15284.601886378592
2018-06-15,843,13563.01202212033,15196.863347225266
2018-06-18,941,13549.11768303644,15165.606492651897
2018-06-19,946,13519.728693355997,15107.47971046282
2018-06-20,856,13551.184833985339,15133.25290633911
2018-06-21,857,13459.0537106805,15038.385610879579
2018-06-22,858,13526.135777641115,15065.803904364991
2018-06-25,855,13376.319725667736,14860.7150690941
2018-06-26,880,13399.522390887916,14893.617021276596
2018-06-27,882,13262.37764028993,14770.234700592235
2018-06-28,884,13307.682999926112,14854.683044527306
2018-06-29,884,13331.46060679212,14876.069313445927
2018-07-02,881,13349.976643179045,14907.87453388901
2018-07-03,879,13328.172363117252,14855.231410397015
